id,name,start,end,location
thomas-traherne,Thomas Traherne,1636-01-01,1674-01-01,"Herefordshire, England"
isaac-newton,Sir Isaac Newton,1642-01-01,1727-01-01,"Cambridge, England"
charles-wesley,Charles Wesley,1707-01-01,1788-01-01,England
john-wesley,John Wesley,1703-01-01,1791-01-01,England
pope-damasus-1,Pope Damasus I,0305-01-01,0384-01-01,Rome
monica,Monica of Hippo,0331-01-01,0387-01-01,North Africa
alypius,Alypius of Thagaste,0354-01-01,0430-01-01,North Africa
possidius,Possidius,0350-01-01,0437-01-01,"Calama, Numidia"
pope-cornelius,Pope Cornelius,0180-01-01,0253-01-01,Rome
pope-stephen-1,Pope Stephen I,0200-01-01,0257-01-01,Rome
germanus-auxerre,Germanus of Auxerre,0378-01-01,0448-01-01,"Auxerre, Gaul"
augustine-canterbury,Augustine of Canterbury,0534-01-01,0604-01-01,Canterbury
leander-seville,Leander of Seville,0534-01-01,0600-01-01,Seville
pope-martin-1,Pope Martin I,0590-01-01,0655-01-01,Rome
pope-gregory-ii,Pope Gregory II,0669-01-01,0731-01-01,Rome
charlemagne,Charlemagne,0742-01-01,0814-01-01,"Aachen, Francia"
peter-abelard,Peter Abelard,1079-01-01,1142-01-01,"Paris, France"
pope-eugenius-iii,Pope Eugenius III,1080-01-01,1153-01-01,Rome
clare-assisi,Clare of Assisi,1194-01-01,1253-01-01,"Assisi, Italy"
bonaventure,Bonaventure,1221-01-01,1274-01-01,"Paris, France"
pico-mirandola,Giovanni Pico della Mirandola,1463-01-01,1494-01-01,"Florence, Italy"
philipp-melanchthon,Philipp Melanchthon,1497-01-01,1560-01-01,"Wittenberg, Germany"
william-farel,William Farel,1489-01-01,1565-01-01,"Geneva, Switzerland"
george-whitefield,George Whitefield,1714-01-01,1770-01-01,England
saturus,Saturus (martyr; companion of Perpetua),0170-01-01,0203-01-01,Carthage
callixtus-i,Pope Callixtus I,0165-01-01,0222-01-01,Rome
flavian-constantinople,Flavian of Constantinople,0381-01-01,0449-01-01,Constantinople
aeonius-arles,Aeonius of Arles,0450-01-01,0502-01-01,"Arles, Gaul"
maurus,Saint Maurus,0512-01-01,0584-01-01,Italy
finnian-moville,Finnian of Moville,0495-01-01,0589-01-01,Ireland
caedmon,Caedmon,0620-01-01,0680-01-01,"Northumbria, England"
itta-metz,Itta of Metz,0592-01-01,0652-01-01,Frankish Kingdom
benedict-biscop,Benedict Biscop,0628-01-01,0689-01-01,"Wearmouth, England"
ceolfrith,Ceolfrith,0642-01-01,0716-01-01,"Jarrow, England"
eterius-osma,Eterius of Osma,0750-01-01,0800-01-01,Spain
hincmar-reims,Hincmar of Reims,0806-01-01,0882-01-01,Reims
berno-cluny,Berno of Cluny,0850-01-01,0927-01-01,"Cluny, Burgundy"
adalbero-reims,Adalbero of Reims,0920-01-01,0989-01-01,Reims
bruno-querfurt,Bruno of Querfurt,0974-01-01,1009-01-01,Central/Eastern Europe
william-champeaux,William of Champeaux,1070-01-01,1121-01-01,"Paris, France"
heloise,Heloise,1100-01-01,1164-01-01,"Paris, France"
william-of-ware,William of Ware,1275-01-01,1305-01-01,England
brunetto-latini,Brunetto Latini,1220-01-01,1294-01-01,"Florence, Italy"
john-purvey,John Purvey,1354-01-01,1428-01-01,England
margery-kempe,Margery Kempe,1373-01-01,1438-01-01,England
florens-radewijns,Florens Radewijns,1350-01-01,1400-01-01,Deventer
pope-eugenius-iv,Pope Eugenius IV,1383-01-01,1447-01-01,Rome
tiedemann-giese,Tiedemann Giese,1480-01-01,1550-01-01,Prussia
antonio-montesinos,Antonio de Montesinos,1475-01-01,1540-01-01,Hispaniola
william-brewster,William Brewster,1568-01-01,1644-01-01,England / Plymouth
john-robinson,John Robinson (Separatist pastor),1576-01-01,1625-01-01,Leiden
